"Heylighe Wech",https://adamlink.nl/geo/street/heilige-weg/6992
"Vaert na den Overtoom",
Lynbanen,
"Parfumeerders Graft",https://adamlink.nl/geo/street/passeerdersgracht/3483
"Loyers Graft",https://adamlink.nl/geo/street/looiersgracht/2747
"Elants dwars burchwal",
"Prince Graft",https://adamlink.nl/geo/street/prinsengracht/3684
"Heere dwars Burchwal",
"Keysers Graft",https://adamlink.nl/geo/street/keizersgracht/2337
"Heere Graft",https://adamlink.nl/geo/street/herengracht/1768
Cingel,https://adamlink.nl/geo/street/singel/4088
"Heylige wechs Poort",
"Heylige wechs Sluys",
"Soldaten Drilplaets",
"Oude Waetering",
"Reguliers Poort",
"Bree Straet",https://adamlink.nl/geo/street/reguliersbreestraat/3761
"Reguliers-poorts toren",https://adamlink.nl/geo/building/munttoren/164
Wachthuys,
"Osse marct",https://adamlink.nl/geo/street/rembrandtplein/3785
"Osse marct",https://adamlink.nl/geo/street/reguliersbreestraat/3761
"Osse marct",https://adamlink.nl/geo/street/muntplein/3067
"’t Reguliers Padt",https://adamlink.nl/geo/street/regulierspad/6962
"Piqueur Plaets",
"Amstel Fluvius",
"Blaeuwe Brugh",
Vloonburgh,
"’t Veer",
"’t Wees Padt",https://adamlink.nl/geo/street/nieuwe-weespad/6968
"’t Molen Padt",https://adamlink.nl/geo/street/molenpad/7038
"’t Raem Padt",https://adamlink.nl/geo/street/raampad/5917
"Lely Padt",https://adamlink.nl/geo/street/leliepad/6186
"S. Anthonis Dyck",https://adamlink.nl/geo/street/sint-anthonisdijk/6946
Kadyck,https://adamlink.nl/geo/street/kadijk/5871
Rysen-Hooft,
Leprozenhuys,https://adamlink.nl/geo/building/leprozenhuis/594
"Lazarus Steech",https://adamlink.nl/geo/street/lazarussteeg/5748
"Marcken Steech",https://adamlink.nl/geo/street/markensteeg/5621
"Houtcoopers Burghwal",https://adamlink.nl/geo/street/joden-houttuinen/2157
Marcken,https://adamlink.nl/geo/street/valkenburgerstraat/4618
Rapenburgh,https://adamlink.nl/geo/street/rapenburg/3742
"Verwers Graft",https://adamlink.nl/geo/street/zwanenburgwal/5222
"Verwers Graft",https://adamlink.nl/geo/street/raamgracht/3724
Verweryen,
"Verwers Straet",https://adamlink.nl/geo/street/verversstraat/4748
"Groene Burchwal",https://adamlink.nl/geo/street/groenburgwal/1564
"Zuyder Kerck",https://adamlink.nl/geo/building/zuiderkerk/397
Kerckhof,https://adamlink.nl/geo/street/zuiderkerkhof/5200
"S. Anthonis Sluys",https://adamlink.nl/geo/street/sint-antoniesluis/4097
"Boom dwars-sloot",https://adamlink.nl/geo/street/krom-boomssloot/2539
"Boom Sloot",https://adamlink.nl/geo/street/recht-boomssloot/3756
"Montelbaens Burchwal",https://adamlink.nl/geo/street/oudeschans/3405
"Montelbaens tooren",https://adamlink.nl/geo/building/montelbaanstoren/1228
"Oude Wael",https://adamlink.nl/geo/street/oude-waal/3393
"Ye Fluvius",
"Heylige Wech",https://adamlink.nl/geo/street/heiligeweg/1705
"Heylige wechs Poort",https://adamlink.nl/geo/street/heiligewegspoort/6126
"Heylige Wechs Sluys",https://adamlink.nl/geo/street/heiligewegssluis/6127
"’t Leytsche Veer",https://adamlink.nl/geo/street/leidse-veer/6961
"Uitertsche Veer",https://adamlink.nl/geo/street/utrechtse-veer/6963
Aelmoeseniers,
"Tucht Huys",
"Artillery Huys",
"Handt Booghs Doelen",
"Voet Booghs Doelen",
"Calver Straet",https://adamlink.nl/geo/street/kalverstraat/2269
"Osse Sluys",https://adamlink.nl/geo/street/ossensluis/7039
Turf-mart,https://adamlink.nl/geo/street/oude-turfmarkt/3392
Ste-tuyn,https://adamlink.nl/geo/street/nieuwe-doelenstraat/3142
"Gasth Hof",
"Gasthuys Kerck",https://adamlink.nl/geo/building/gasthuiskerk/857
"Lange Brugh",
"Gremmenesse Sluys",https://adamlink.nl/geo/street/grimnessersluis/5701
"Den Nes",https://adamlink.nl/geo/street/nes/3107
"’t Nieuwe Gasthuys",
"Cloveniers Doelen",
"’t Vrouwen Gasthuys",
"O.ts Voor Burchwal",https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409
"Stadts Steenhouwery",
Glashuys,
"Beschuyt Mart",https://adamlink.nl/geo/street/beschuitmarkt/6239
"Oude MannenHuys",https://adamlink.nl/geo/building/oudemanhuispoort/195
"Garen Mart",https://adamlink.nl/geo/street/rusland/3914
Spinhuys,
"O.ts Achter Burchwal",https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406
"Oude Cingel",https://adamlink.nl/geo/street/singel/4088
"S. Ioris Hof",
"Walen Kerck",
"Oost Indisch Huys",
Dolhuys,
"S. Anthonis Marct",https://adamlink.nl/geo/street/nieuwmarkt/3209
"Oude S. Antonis Poort",
"Nieuwe Waghe",
"Zee Dyck",https://adamlink.nl/geo/street/zeedijk/5154
"Oude-sydts Achter Burchwal",https://adamlink.nl/geo/street/oudezijds-achterburgwal/3406
"Keulsche Kay",https://adamlink.nl/geo/street/geldersekade/1459
"Oude Kraen",
"Schreyhoecks tooren",
"Beulinck Straet",https://adamlink.nl/geo/street/beulingstraat/431
"Heere graft",https://adamlink.nl/geo/street/herengracht/1768
"’t Speuy",https://adamlink.nl/geo/street/spui/4275
"’t Ronde Bagyn hof",https://adamlink.nl/geo/street/begijnhof/347
"N.ts Voor Burchwal",https://adamlink.nl/geo/street/nieuwezijds-voorburgwal/3207
"N.ts Achter Burchwal",https://adamlink.nl/geo/street/spuistraat/4276
"Bloem Mart",https://adamlink.nl/geo/street/bloemmarkt/6353
Weeshuys,
"Calver Str.",https://adamlink.nl/geo/street/kalverstraat/2269
"Rotterdammer Veer",https://adamlink.nl/geo/street/rotterdammer-veer/7046
"Delftsche Veer",https://adamlink.nl/geo/street/delftse-veer/7047
"Haagsche Veer",https://adamlink.nl/geo/street/haagse-veer/7048
"Heilige Stede",
Rockin,https://adamlink.nl/geo/street/rokin/3867
"Deventer Houtmart",https://adamlink.nl/geo/street/deventer-houtmarkt/6119
Lakenhal,
Beurs,
Leenbanck,
"S. Pieters Kerck",
"Wortel Mart",https://adamlink.nl/geo/street/wortelmarkt/7049
