"street","hondius_1612","berckenrode_1625","ram_1692","loman_1876","pw_1909","pw_1943","pw_1985"
"https://adamlink.nl/geo/building/accijnshuis/1430",,,"yes",,,,
"https://adamlink.nl/geo/building/gasthuiskerk/857",,"yes",,,,,
"https://adamlink.nl/geo/building/haarlemmerpoort/600",,"yes",,,,,
"https://adamlink.nl/geo/building/leprozenhuis/594",,"yes","yes",,,,
"https://adamlink.nl/geo/building/montelbaanstoren/1228",,"yes",,,,,
"https://adamlink.nl/geo/building/munttoren/164",,"yes",,,,,
"https://adamlink.nl/geo/building/nieuwezijds-kapel/556",,,"yes",,,,
"https://adamlink.nl/geo/building/oudemanhuispoort/195",,"yes",,,,,
"https://adamlink.nl/geo/building/oudezijds-herenlogement/1259",,,"yes",,,,
"https://adamlink.nl/geo/building/sint-olofskapel/174",,"yes","yes",,,,
"https://adamlink.nl/geo/building/zuiderkerk/397",,"yes",,,,,
"https://adamlink.nl/geo/street/aalsmeerdergang/6709",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/aardbeziengang/7808",,,,"yes",,,
"https://adamlink.nl/geo/street/aarnoudsgang/7809",,,,"yes",,,
"https://adamlink.nl/geo/street/achtkantenstovengang/41",,,,"yes",,,
"https://adamlink.nl/geo/street/admiraliteitsgang/7810",,,,"yes",,,
"https://adamlink.nl/geo/street/akoleienstraat/87",,,"yes",,,,
"https://adamlink.nl/geo/street/alkmaardergang/6896",,,,,"yes","no",
"https://adamlink.nl/geo/street/amsterdamsche-hofje/7037",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/anjeliershofje/7811",,,,"yes",,,
"https://adamlink.nl/geo/street/anjeliersstraat/168",,"yes","yes",,,,
"https://adamlink.nl/geo/street/annaatjesgang/7812",,,,"yes",,,
"https://adamlink.nl/geo/street/apothekersgang/7813",,,,"yes",,,
"https://adamlink.nl/geo/street/appelenkruiers-of-appelenmetersgang/7636",,,,"yes",,,
"https://adamlink.nl/geo/street/appelhofje/7814",,,,"yes",,,
"https://adamlink.nl/geo/street/appelmanspad/6986","yes","no",,,,,
"https://adamlink.nl/geo/street/arend-jacobszoonssteeg/7638",,,,"yes",,,
"https://adamlink.nl/geo/street/arendsgang/7815",,,,"yes",,,
"https://adamlink.nl/geo/street/arendt-bouwes-steeg/5616",,"yes","yes",,,,
"https://adamlink.nl/geo/street/arke-noachsgang/5696",,,,"yes",,,
"https://adamlink.nl/geo/street/arkenoachsgang/7816",,,,"yes",,,
"https://adamlink.nl/geo/street/aschtonnengang/6742",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/azynmakers-steeg/5467",,"yes","yes","yes",,,
"https://adamlink.nl/geo/street/baafjesgang/6818",,,,,"yes","no",
"https://adamlink.nl/geo/street/baanbrugsteeg/261",,,"yes",,,,
"https://adamlink.nl/geo/street/baefjes-steeg/5625",,"yes","yes",,,,
"https://adamlink.nl/geo/street/bakkersdwarsstraat/7013",,"yes",,"yes",,,
"https://adamlink.nl/geo/street/bakkersgang/5925",,,,"yes",,"yes","no"
"https://adamlink.nl/geo/street/bakkersgang/6312",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/bakkersgang/6731",,,,"yes","no",,
"https://adamlink.nl/geo/street/bakkersgang/6771",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/bakkersgang/6799",,,,"yes",,,
"https://adamlink.nl/geo/street/bakkersgang/7817",,,,"yes",,,
"https://adamlink.nl/geo/street/bakkersgang/7818",,,,"yes",,,
"https://adamlink.nl/geo/street/bakkersgang/7819",,,,"yes",,,
"https://adamlink.nl/geo/street/bakkersgang/7820",,,,"yes",,,
"https://adamlink.nl/geo/street/bakkersstraat/278",,"yes","yes",,,,
"https://adamlink.nl/geo/street/balk-in-t-oogsteeg/290",,"yes","yes",,,,
"https://adamlink.nl/geo/street/barndesteeg/311",,"yes",,,,,
"https://adamlink.nl/geo/street/bastaardgang/7821",,,,"yes",,,
"https://adamlink.nl/geo/street/batavierstraat/5666","yes",,"yes",,,,
"https://adamlink.nl/geo/street/beddenmakersgang/6856",,,,"yes",,,
"https://adamlink.nl/geo/street/beerengang/6677",,,,"yes",,,
"https://adamlink.nl/geo/street/begijnengang/7822",,,,"yes",,,
"https://adamlink.nl/geo/street/begijnensteeg/346",,"yes","yes",,,,
"https://adamlink.nl/geo/street/begijnhof/347","yes","yes",,,,,
"https://adamlink.nl/geo/street/benijdersgang/6797",,,,"yes","yes","no",
"https://adamlink.nl/geo/street/benningspad/6972","yes","no",,,,,
"https://adamlink.nl/geo/street/berengang/5697",,,,"yes",,,
"https://adamlink.nl/geo/street/berenstraat/394",,"yes","yes",,,,
"https://adamlink.nl/geo/street/bergstraat/396",,"yes","yes",,,,
"https://adamlink.nl/geo/street/berkenboomengang/6895",,,,,"yes","no",
"https://adamlink.nl/geo/street/beschuitmarkt/6239",,"yes",,,,,
"https://adamlink.nl/geo/street/bethaniendwarsstraat/425",,"yes","yes",,,,
"https://adamlink.nl/geo/street/bethanienstraat/426",,"yes","yes",,,,
"https://adamlink.nl/geo/street/bethlehemsgang/7823",,,,"yes",,,
"https://adamlink.nl/geo/street/bethlehemssteeg/7643",,,,"yes",,,
"https://adamlink.nl/geo/street/beugeltasgang/7824",,,,"yes",,,
"https://adamlink.nl/geo/street/beulingstraat/431",,"yes","yes",,,,
"https://adamlink.nl/geo/street/beursstraat/7003",,"yes","yes",,,,
"https://adamlink.nl/geo/street/bezemmakersgang/6900",,,,,"yes","no",
"https://adamlink.nl/geo/street/bier-kay/5689",,"yes",,,,,
"https://adamlink.nl/geo/street/bierdragersgang/445",,,,"yes",,,
"https://adamlink.nl/geo/street/bierdragersgang/6809",,,,"yes",,,
"https://adamlink.nl/geo/street/bijbelsgang/5698",,,,"yes",,,
"https://adamlink.nl/geo/street/biksteengang/7825",,,,"yes",,,
"https://adamlink.nl/geo/street/binnen-bantammerstraat/464","yes","yes","yes",,,,
"https://adamlink.nl/geo/street/binnen-dommersstraat/466",,,"yes",,,,
"https://adamlink.nl/geo/street/blaauwe-armgang/6756",,,,"yes","no",,
"https://adamlink.nl/geo/street/blaauwe-gang/6898",,,,,"yes","no",
